"LEST_Y","LEST_X"
694749.5,6581749.5
694749.5,6581249.5
694749.5,6580749.5
694749.5,6580249.5
694749.5,6574249.5
694749.5,6562749.5
694749.5,6549749.5
694749.5,6445249.5
694749.5,6439249.5
694749.5,6431249.5
694749.5,6390249.5
694249.5,6588249.5
694249.5,6587249.5
694249.5,6586749.5
694249.5,6585749.5
694249.5,6585249.5
694249.5,6584749.5
694249.5,6584249.5
694249.5,6583749.5
694249.5,6582749.5
694249.5,6582249.5
694249.5,6581749.5
694249.5,6581249.5
694249.5,6580749.5
694249.5,6579749.5
694249.5,6551749.5
694249.5,6545749.5
694249.5,6459249.5
694249.5,6446249.5
694249.5,6431249.5
694249.5,6430249.5
694249.5,6404749.5
693749.5,6591249.5
693749.5,6590249.5
693749.5,6589249.5
693749.5,6586249.5
693749.5,6585749.5
693749.5,6585249.5
693749.5,6584749.5
693749.5,6584249.5
693749.5,6583749.5
693749.5,6583249.5
693749.5,6582249.5
693749.5,6581749.5
693749.5,6581249.5
693749.5,6577249.5
693749.5,6562249.5
693749.5,6552749.5
693749.5,6458749.5
693749.5,6446749.5
693749.5,6389249.5
693249.5,6585749.5
693249.5,6585249.5
693249.5,6584249.5
693249.5,6582249.5
693249.5,6581249.5
693249.5,6580249.5
693249.5,6579249.5
693249.5,6578249.5
693249.5,6576749.5
693249.5,6575749.5
693249.5,6566749.5
693249.5,6545249.5
693249.5,6431249.5
693249.5,6429749.5
693249.5,6409749.5
693249.5,6405249.5
693249.5,6388749.5
692749.5,6586249.5
692749.5,6585749.5
692749.5,6584249.5
692749.5,6582249.5
692749.5,6574749.5
692749.5,6573749.5
692749.5,6573249.5
692749.5,6561749.5
692749.5,6553249.5
692749.5,6447749.5
692749.5,6432249.5
692749.5,6428749.5
692749.5,6416249.5
692749.5,6405749.5
692749.5,6389249.5
692749.5,6388749.5
692249.5,6586749.5
692249.5,6582249.5
692249.5,6581749.5
692249.5,6572749.5
692249.5,6561749.5
692249.5,6545249.5
692249.5,6448249.5
692249.5,6441749.5
692249.5,6432749.5
692249.5,6428249.5
692249.5,6388749.5
692249.5,6388249.5
691749.5,6587249.5
691749.5,6586249.5
691749.5,6583749.5
691749.5,6582749.5
691749.5,6572249.5
691749.5,6563749.5
691749.5,6562749.5
691749.5,6560749.5
691749.5,6553249.5
691749.5,6551749.5
691749.5,6417749.5
691749.5,6406249.5
691249.5,6587249.5
691249.5,6583249.5
691249.5,6571249.5
691249.5,6567249.5
691249.5,6566749.5
691249.5,6565749.5
691249.5,6564749.5
691249.5,6559749.5
691249.5,6553749.5
691249.5,6448749.5
691249.5,6388749.5
690749.5,6587749.5
690749.5,6585249.5
690749.5,6584249.5
690749.5,6580749.5
690749.5,6570249.5
690749.5,6569249.5
690749.5,6568249.5
690749.5,6559249.5
690749.5,6449249.5
690749.5,6433749.5
690749.5,6417249.5
690749.5,6406749.5
690249.5,6594249.5
690249.5,6588749.5
690249.5,6586249.5
690249.5,6581249.5
690249.5,6558249.5
690249.5,6557249.5
690249.5,6554749.5
690249.5,6554249.5
690249.5,6553249.5
690249.5,6544749.5
690249.5,6443749.5
690249.5,6401249.5
690249.5,6388749.5
689749.5,6589249.5
689749.5,6588749.5
689749.5,6588249.5
689749.5,6578749.5
689749.5,6570249.5
689749.5,6556249.5
689749.5,6555749.5
689749.5,6555249.5
689749.5,6554749.5
689749.5,6552249.5
689749.5,6449749.5
689749.5,6433749.5
689749.5,6426749.5
689749.5,6417249.5
689749.5,6407249.5
689249.5,6589749.5
689249.5,6589249.5
689249.5,6582249.5
689249.5,6580749.5
689249.5,6556249.5
689249.5,6551249.5
689249.5,6544749.5
689249.5,6450249.5
689249.5,6388749.5
688749.5,6589749.5
688749.5,6570749.5
688749.5,6570249.5
688749.5,6556249.5
688749.5,6550749.5
688749.5,6451249.5
688749.5,6434249.5
688749.5,6426249.5
688749.5,6425249.5
688749.5,6422249.5
688749.5,6418249.5
688749.5,6417249.5
688749.5,6407249.5
688249.5,6594249.5
688249.5,6589749.5
688249.5,6582249.5
688249.5,6569749.5
688249.5,6544749.5
688249.5,6450249.5
688249.5,6424249.5
688249.5,6388749.5
687749.5,6590749.5
687749.5,6582249.5
687749.5,6571249.5
687749.5,6569749.5
687749.5,6555749.5
687749.5,6550249.5
687749.5,6450749.5
687749.5,6450249.5
687749.5,6434749.5
687749.5,6420749.5
687749.5,6417249.5
687749.5,6407249.5
687249.5,6600249.5
687249.5,6590249.5
687249.5,6589749.5
687249.5,6589249.5
687249.5,6588749.5
687249.5,6582249.5
687249.5,6549749.5
687249.5,6493749.5
687249.5,6450749.5
687249.5,6435249.5
687249.5,6407749.5
687249.5,6388249.5
686749.5,6591249.5
686749.5,6590249.5
686749.5,6589749.5
686749.5,6589249.5
686749.5,6588749.5
686749.5,6582249.5
686749.5,6581749.5
686749.5,6571249.5
686749.5,6555249.5
686749.5,6461249.5
686749.5,6436249.5
